filename,hist_0,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8,hist_9,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15,hist_16,hist_17,hist_18,hist_19,hist_20,hist_21,hist_22,hist_23,hist_24,hist_25,hist_26,hist_27,hist_28,hist_29,hist_30,hist_31,blurness,mean_b,mean_g,mean_r,std_b,std_g,std_r,label
191_083_082_015.mp4,0.9909614940484364,0.1087572187185287,0.0455431821445624,0.0177195545906821,0.0141609362637003,0.0107476188490788,0.0052627300688376,0.0048639174705992,0.0048098202329128,0.0051826046934972,0.0060228289260218,0.0059233034495264,0.0059463853482156,0.0071196750116844,0.0080043437425047,0.0105575807392597,0.0153392643667757,0.0212798660621047,0.0193206282332539,0.0155122119002044,0.0095078046744068,0.0127582154547174,0.0064254254102706,0.0112726146355271,0.0203722655152281,0.013465239200741,0.0067189697641879,0.0087303466474016,0.0102358661902447,0.0079319820273667,0.0038761550560593,0.0192308670530716,2005.723266781202,28.513813376913262,31.63632214604592,34.56227811437074,59.02208831404921,65.13016260822737,70.82601610312487,0
191_083_082_016.mp4,0.990895903110504,0.1090682223439216,0.0460049429287513,0.0209016552194952,0.0144400389554599,0.0104278204341729,0.0051051937354107,0.004766464078178,0.005046425309653,0.0051748811267316,0.0057415877003222,0.0056274691751847,0.0059343156404793,0.0069786863401532,0.0076024524712314,0.0098861495032906,0.0141543882588545,0.0203818788131078,0.0191621876011292,0.0151623837649822,0.0098283389272789,0.0131531736813485,0.0061574333036939,0.0128401048481464,0.0204023177425066,0.0129400157680114,0.0075902287227412,0.008882412686944,0.010287513056149,0.0070390813673535,0.0030715628604715,0.0183352009082833,1980.436763984707,28.143671609268708,31.231160980017005,34.14410209396259,58.53704422669356,64.67567545927028,70.42247647025307,0
191_083_082_017.mp4,0.9910435795783996,0.1074368094404538,0.0461750398079554,0.0210474980063736,0.0143739703421791,0.0101705754175782,0.0054611335042864,0.0051823396390924,0.0051496841479092,0.0054025015172859,0.0057230520372589,0.0055249286970744,0.0057081740349531,0.006652781786397,0.0076016622440268,0.0096572461538016,0.0138307655851046,0.0203102047865589,0.0191321659833192,0.0154561088110009,0.0111482926954825,0.0131234996641675,0.0061349884141236,0.0142914099618792,0.0199293825775384,0.0129915729475518,0.0084991761948913,0.0093458525836467,0.0097167349110047,0.0055897947556028,0.0028103435644879,0.0180201521143317,1915.7400374831184,28.128237935799312,31.25179435055271,34.170351695365646,58.32879236051402,64.56718271304221,70.36453009065967,0
191_083_082_018.mp4,0.9911223709583282,0.1063049525022506,0.0468130692839622,0.0224326794346173,0.014320824916164,0.0102422359399497,0.005355410107101,0.0050294454830388,0.0051444163235525,0.005545721296221,0.0058874012902379,0.0053508234675973,0.0054578427691012,0.0063743697634587,0.0073509167258938,0.0090509503924598,0.0131367206883927,0.0193015732492009,0.0209647284199794,0.0153411865544815,0.010728614963591,0.0133374395469824,0.0059596380063643,0.0124037781109412,0.02134130106618,0.0133780857548117,0.0089370566109816,0.0091511794986824,0.0092840568783382,0.0062027768076707,0.0029021424784635,0.0181206529339154,1936.0066876207677,28.12350659013605,31.27175342793368,34.10591451424319,58.393371274052505,64.67759849336373,70.38664475625377,0
191_083_082_019.mp4,0.991519421339035,0.1011630900204181,0.0484689814969897,0.0140671078115701,0.0137103683004776,0.0101845699828118,0.0053539421486978,0.0045092828571796,0.0041266611777246,0.004183645096297,0.0044492637816195,0.0048263092758134,0.0062106809423615,0.0079515200108289,0.0090683537690589,0.0116406608993808,0.0157307881241043,0.01775566994523,0.0161230834200978,0.015057155676186,0.0123506268641601,0.014321492301921,0.0081371041790892,0.0122733954029778,0.0183640663822491,0.0139833258464932,0.0094237685048331,0.0095227812416851,0.0108827927460273,0.0085285408499961,0.0043466073228046,0.020045818015933,1917.7011752927635,29.34519424957483,32.53991084715136,35.546671051233,60.24716376779718,66.50594436184427,72.27218531896072,0
191_083_082_020.mp4,0.9905361155668896,0.1142833918333053,0.0436238992959261,0.0129718058121701,0.0138687515320877,0.0094788998054961,0.0058547369204461,0.0046000890821839,0.0040976467930401,0.0041940987265358,0.0046039388359834,0.0048257364425808,0.0063967409854133,0.008250264590606,0.0097990587974588,0.0120623919181525,0.0170974800673623,0.0190512869507074,0.016877584469815,0.0175574848428368,0.0131145542487502,0.0156123352547486,0.0069589659726868,0.0094672941913207,0.0176027564331889,0.0124086861188213,0.0083688912292321,0.0084055214499433,0.0106544542126357,0.0073717149284978,0.0032914372704302,0.0183714138964811,1883.355082593341,28.27752311862245,31.52979777848639,34.79119100765306,58.58323124445537,64.84927943995828,71.1254151433159,0
191_083_082_021.mp4,0.9904868284861248,0.1157335643966992,0.0396783338238795,0.0123669744158784,0.0132563232444226,0.0098830368990699,0.0058287287286172,0.0044216389457384,0.0040506047584737,0.0043570199748501,0.0045612619879345,0.0052195860693852,0.0066391009992609,0.0085752709768712,0.0102493396028876,0.013535332493484,0.0182963880399862,0.0185362897192438,0.0179715778057773,0.0196685824543237,0.0138140436882774,0.0146733790636062,0.0067376186295102,0.010009461051474,0.0174273617565631,0.0115827590227127,0.00729476865381,0.0080203278300662,0.0100086652984221,0.006494053111722,0.0031255567601571,0.0181983911742766,1884.3539884368267,28.15775071747449,31.44152250744048,34.81771896258503,58.16304012998357,64.41520358274533,70.84802112699072,0
191_083_082_022.mp4,0.9907970011234284,0.1116656675934791,0.0424153827130794,0.0117260948754847,0.0132677651010453,0.0100324208537737,0.0054318778527279,0.0045077978167682,0.0041017303398499,0.0043621638944993,0.0048946551668147,0.0053499742721517,0.0071124933970471,0.0089019325872262,0.0104530739597976,0.0135707607182363,0.017763859933863,0.019108870315055,0.017219838903596,0.0201843475922942,0.0153613244493802,0.0157423083670437,0.0065567355602979,0.0100661682275434,0.017162298814704,0.0122231425096591,0.0075002653524279,0.008574924012646,0.0091187509708106,0.0058631222695112,0.0029084142452726,0.0181277743230263,1858.2295102038156,28.31936450361394,31.651854140093537,35.08453776041667,58.10133730446332,64.4265561341959,70.94922059385574,0
191_083_082_023.mp4,0.9905100146929424,0.1145723921557267,0.0426321669171253,0.0112874358271559,0.0128437334671616,0.0099512694403529,0.0051843534223735,0.0042799686392148,0.0041083280462771,0.0044631517802675,0.0049124430865049,0.0051988129659245,0.0071416114767392,0.0093350697308778,0.0104853549661735,0.0135234071252246,0.0171959749112526,0.0182932450746496,0.0167553655182321,0.0191176176071167,0.0179712106163303,0.0147106228706737,0.0064792814509322,0.0125341100307802,0.0169955537344018,0.0114620704203844,0.0075081037978331,0.0083622766348222,0.0087913720247646,0.0044381541743253,0.0025608560458446,0.0177446536098917,1892.9585550641211,27.962305351828217,31.30798921130952,34.747162654124146,57.637076367572696,63.9674728037505,70.56045049355197,0
191_083_082_024.mp4,0.9904164810975392,0.11586704403162,0.0415329912056525,0.0123269892608126,0.0126383577473461,0.0101542459490398,0.0054849302551398,0.0044129951391369,0.004203783837147,0.0044881468638777,0.0052988070218513,0.0052034131096055,0.0070936898700892,0.0094418526937564,0.0103576272726058,0.0137487576964,0.0175266114374001,0.0180837382872899,0.0169617677728335,0.0190458198388417,0.0178253995254635,0.0140004167643686,0.0062069077665607,0.0126412474550306,0.0163158701732754,0.0117631584716339,0.0071506043430417,0.0081001313713689,0.0086235083950062,0.004098768120942,0.0024542140386377,0.0175497212136785,1905.7269698162736,27.653888313137763,30.99016860650509,34.484466677295906,57.231310077040895,63.5222296227244,70.23285483738204,0
